"Introduction","Id_Chargeur","Date PEC","Site","Id_Site","Nombre de place de stationnement","Nombre de place PMR","Localisation","Photo Site","Chargeur","Marque - Modèle","Numéro de série","Nombre de prise","Année de fabrication","Date de mise en service","Photo Chargeur","Etat Chargeur","Chargeur - Anomalie","Chargeur - Défaut(s) constaté(s)","Chargeur - Solution(s) proposée(s)","Chargeur - Photo anomalie","Prise 1","Prise 1 - Identifiant","Prise 1 - Type de prise","Prise 1 - Puissance","Prise 1 - Câble attaché ?","Prise 1 - Etat prise","Prise 1 - Etat câble","Prise 1 - Test de charge","Prise 1 - Raison ?","Prise 1 - Anomalie","Prise 1 - Défaut(s) constaté(s)","Prise 1 - Solution(s) proposée(s)","Prise 1 - Photo anomalie","Prise 2","Prise 2 - Identifiant","Prise 2 - Type de prise","Prise 2 - Puissance","Prise 2 - Câble attaché ?","Prise 2 - Etat prise","Prise 2 - Etat câble","Prise 2 - Test de charge","Prise 2 - Raison ?","Prise 2 - Anomalie","Prise 2 - Défaut(s) constaté(s)","Prise 2 - Solution(s) proposée(s)","Prise 2 - Photo anomalie","Prise 3","Prise 3 - Identifiant","Prise 3 - Type de prise","Prise 3 - Puissance","Prise 3 - Câble attaché ?","Prise 3 - Etat prise","Prise 3 - Etat câble","Prise 3 - Test de charge","Prise 3 - Raison ?","Prise 3 - Anomalie","Prise 3 - Défaut(s) constaté(s)","Prise 3 - Solution(s) proposée(s)","Prise 3 - Photo anomalie","Alimentation","Point de livraison","Numéro PRM","Marque Modèle Disjoncteur","Réglage intensité","Réglage différentiel","Etat PDL / Disjoncteur","Photo PDL","Photo Disjoncteur","Alimentation - Anomalie","Alimentation - Défaut(s) constaté(s)","Alimentation - Solution(s) proposée(s)","Alimentation - Photo anomalie","Communication","ICCID","Charge Point ID","Moyens de paiement","Terminal de paiement ?","En service ?","Marque TPE","Numéro de série TPE","Etat TPE","Photo TPE","Photo plaque signalétique TPE","Moyent de paiement - Anomalie","Moyent de paiement - Défaut(s) constaté(s)","Moyent de paiement - Solution(s) proposée(s)","Moyent de paiement - Photo anomalie","Protection anticolision","Type de protection","Protection - Quantité","Etat protections","Présence de stop-roues ?","Protection - Anomalie","Protection - Défaut(s) constaté(s)","Protection - Solution(s) proposée(s)","Protection - Photo anomalie","Panneaux de signalisation","Signalisation - Quantité","Fixation","Type de panneaux","Logo VE au sol ?","Etat signalisation","Signalisation - Anomalie","Signalisation - Défaut(s) constaté(s)","Signalisation - Solution(s) proposée(s)","Signalisation - Photo anomalie","Contrôles","Contrôle 1","Contrôle 2","Contrôle 3","Contrôle 4","Contrôle 5","Contrôle 6","Contrôle 7","Contrôle 8","Contrôle 9","Contrôle 10","Contrôle 11","Contrôle 12","Contrôle 13","Contrôle 14","Contrôle 15","Contrôle 16","Contrôle 17","Contrôle 18","Contrôle - commentaires","Conclusion","Pose des stickers","Chargeur basculé chez LOAD STATION","Que reste-t-il à faire ?","Nom technicien","Signature"
"Traité","DMFS","5/1/2026","","Thue et Mue, Cheux - Rue de Marchanville","2","0","49.167130, -0.524965","PEC_Images/AAAM.Photo Site.150754.jpg","","SGA MOBILITY - SGA TAO","TAO2139","2","2025","5/1/2026","PEC_Images/AAAM.Photo Chargeur.150754.jpg","Comme neuf","","","","","","DMFS1","CCS","30","1","Bon","Bon","Fonctionnel","","","","","","","DMFS2","T2","22","","Comme neuf","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","","Baco","60","500","Comme neuf","PEC_Images/AAAM.Photo PDL.150758.jpg","PEC_Images/AAAM.Photo Disjoncteur.150759.jpg","","","","","","89332401000037827959","TAO2139","","","","","","","","","","","","","","Poteau de protection","2","Comme neuf","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Comme neuf","","","","","Traité","Fait","Fait","Fait","Fait","Fait","Fait","Fait","Fait","Fait","Fait","Fait","Fait","Fait","Fait","Fait","Fait","Fait","Fait","RAS","","Fait","Fait","","Quentin DABOUT","PEC_Images/AAAM.Signature.150759.png"
"Traité","SEUB","6/1/2026","","Cormelles-le-Royal, 4 Rue de la Pagnolee","2","0","49.162363, -0.336521","PEC_Images/SEUB.Photo Site.154834.jpg","","SGA MOBILITY - SGA TAO","TAO2054","2","2025","1/8/2025","PEC_Images/SEUB.Photo Chargeur.154834.jpg","Comme neuf","","","","","","SEUB1","CCS","30","1","Comme neuf","Comme neuf","Fonctionnel","","","","","","","SEUB2","T2","22","","Comme neuf","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50042330271796","BACO 401011","60","500","Comme neuf","PEC_Images/SEUB.Photo PDL.154833.jpg","PEC_Images/SEUB.Photo Disjoncteur.154837.jpg","","","","","","89332401000037830243","TAO2054","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Comme neuf","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","RAS","","Fait","Fait","","Verdier David","PEC_Images/SEUB.Signature.154837.png"
"Traité","VHUF","7/1/2026","","Sainte-Marguerite-d'Elle, Impasse Octave Lemenuel","3","0","49.226730, -1.050061","PEC_Images/VHUF.Photo Site.104936.jpg","","SGA MOBILITY - SGA ZELIE","ZID3048","2","2025","22/1/2025","PEC_Images/VHUF.Photo Chargeur.104936.jpg","Bon","","","","","","VHUF1","T2","22","","Comme neuf","","Fonctionnel","","","","","","","","T2 + EF","22","","Comme neuf","","Fonctionnel","","","Prise 2 en ""indisponible"" voyant rouge allumé","Reboot de la borne, nettoyage. Pas de résultat.","","","","","","","","","","","","","","","","Intégré au chargeur","50055790869407","BACO 401011","60","500","Bon","PEC_Images/VHUF.Photo PDL.104937.jpg","PEC_Images/VHUF.Photo Disjoncteur.104940.jpg","","","","","","89332401000037828874","ZID3048","","","","","","","","","","","","","","Poteau de protection","2","Comme neuf","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Comme neuf","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","NOK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","Absence de capot des protections de la prise T2 mais est quand même protégé car sous un cache. Affiche bienvenue sur nos bornes prévoir affiche plastique Carlo s'infiltre dans le cache de l'affiche.","","Fait","Fait","","Laurent elodie et Dupuy Philippe","PEC_Images/VHUF.Signature.104940.png"
"Traité","FLDA","7/1/2026","","Ouistreham, Boulevard Aristide Briand","2","0","49.291381, -0.270066","PEC_Images/FLDA.Photo Site.135049.jpg","","SGA MOBILITY - SGA TAO","TAO2085","2","2025","24/6/2025","PEC_Images/FLDA.Photo Chargeur.135049.jpg","Bon","","","","","","FLDA1","CCS","30","1","Comme neuf","Comme neuf","Fonctionnel","","","","","","","FLDA2","T2","22","","Comme neuf","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50038566540395","BACO 4 010 13","60","500","Comme neuf","PEC_Images/FLDA.Photo PDL.135049.jpg","PEC_Images/FLDA.Photo Disjoncteur.135052.jpg","","","","","","89332401000037830615","TAO2085","","","","","","","","","","","","","","Poteau de protection","2","Moyen","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Comme neuf","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","Borne en zone innondable lors de forte pluie (vu avec Voisinage)","","Fait","Fait","","Verdier David","PEC_Images/FLDA.Signature.135052.png"
"Traité","HNGW","7/1/2026","","Saint-Marcouf, Chemin de la Romandière","2","1","49.253242, -0.995354","PEC_Images/HNGW.Photo Site.135132.jpg","","DBT - SQC-Keren","DBT.L2.966059","2","2024","19/6/2024","PEC_Images/HNGW.Photo Chargeur.135132.jpg","Bon","","","","","","HNGW1","T2 + EF","22","","Bon","","Fonctionnel","","","","","","","HNGW2","T2 + EF","22","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50066645996979","BACO 40 010 13","60","500","Bon","PEC_Images/HNGW.Photo PDL.135132.jpg","PEC_Images/HNGW.Photo Disjoncteur.135135.jpg","","","","","","89332401000037828544","DBT.L2.966059","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","2","Dans les emrobés","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","","","Fait","Fait","Configuration faite pour la migration, si pas de remontée prévoir les fichiers suivants d'une keren fonctionnelle parameters.ini et ocppconfiguration.ini et ajuster les url et chargerboxid. Mario.","DUPUY Philippe","PEC_Images/HNGW.Signature.135135.png"
"Traité","UXVG","7/1/2026","","Le Molay-Littry, Rue de la Gare","2","1","49.249054, -0.881067","PEC_Images/UXVG.Photo Site.144022.jpg","","SGA MOBILITY - SGA ZELIE","ZID3028","2","2025","23/1/2025","PEC_Images/UXVG.Photo Chargeur.144022.jpg","Comme neuf","","","","","","UXVG1","T2 + EF","7.4","","Bon","","Fonctionnel","","","","","","","UXVG2","T2 + EF","7.4","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50014980449639","BACO 401013","60","500","Comme neuf","PEC_Images/UXVG.Photo PDL.144022.jpg","PEC_Images/UXVG.Photo Disjoncteur.144026.jpg","","","","","","89332401000037828825","ZID3028","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Comme neuf","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","","","Fait","Fait","","Laurent Elodie","PEC_Images/UXVG.Signature.144026.png"
"Traité","RWXM","7/1/2026","","Ouistreham, Place du Général de Gaulle","2","0","49.278843, -0.250729","PEC_Images/RWXM.Photo Site.144842.jpg","","E-TOTEM - E TOTEM 22 KVA","ET147","2","2016","22/3/2016","PEC_Images/RWXM.Photo Chargeur.144842.jpg","Moyen","1","Absence de carte mére/  Trappes forcées","Remise en fonction ou remplacement de la borne","PEC_Images/RWXM.Chargeur - Photo anomalie.144842.jpg","","RWXM1","T2","22","","Dégradé","","Fonctionnel","Pas d’alimentation","","","","","","RWXM2","T2","22","","Moyen","","Fonctionnel","Pas d’alimentation","","","","","","","","","","","","","","","","","","","Intégré au chargeur","02431114219244","BACO 4 010 13","60","500","Bon","PEC_Images/RWXM.Photo PDL.144846.jpg","PEC_Images/RWXM.Photo Disjoncteur.144846.jpg","","","","","","89332401000037830821","ET147","","","","","","","","","","","","","","Poteau de protection","2","Comme neuf","","","","","","","1","Dans les emrobés","Rond interdiction de stationner , Carré Réservé au VE","1","Dégradé","1","Sticker sur panneau Carré","Retiter Sticker","PEC_Images/RWXM.Signalisation - Photo anomalie.144847.jpg","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","Carte PC absente à la PEC:
- Carte PC + SATA installée le 01/06/2026","","Fait","Fait","/!\ Borne déclaré HS par le client avant la prise en charge /!\. Absence de carte mére borne a revoir. QD: Borne de nouveau OK","Verdier David","PEC_Images/RWXM.Signature.144849.png"
"Traité","CFWH","7/1/2026","","Caen, Avenue Président Coty","2","0","49.191677, -0.396266","PEC_Images/CFWH.Photo Site.150321.jpg","","E-TOTEM - E TOTEM 22 KVA","ET242","2","2016","16/12/2016","PEC_Images/CFWH.Photo Chargeur.150321.jpg","Moyen","1","Carte routeur non fixé et antenne non fixée et antenne non connectée","Maintenance","PEC_Images/CFWH.Chargeur - Photo anomalie.150321.jpg","","CFWH1","T2 + EF","22","","Moyen","","Non testé","Mise à jour à voir avec e totem","","","","","","CFWH2","T3 + EF","22","","Mauvais","","Non testé","Mise à jour à voir avec e totem","","Porte ouverte","Changer le système de fermeture","PEC_Images/CFWH.Prise 2 - Photo anomalie.150326.jpg","","","","","","","","","","","","","","","Intégré au chargeur","02476989761007","Baco","60","500","Bon","PEC_Images/CFWH.Photo PDL.150328.jpg","PEC_Images/CFWH.Photo Disjoncteur.150329.jpg","1","On ne voit pas le réglage intensité","Voir enedis","PEC_Images/CFWH.Alimentation - Photo anomalie.150330.jpg","","89332401000037829120","ET242","","1","","Ingenico","iUC180B","Hors d'usage","PEC_Images/CFWH.Photo TPE.150331.jpg","PEC_Images/CFWH.Photo plaque signalétique TPE.150332.jpg","1","Pas de plaque signalétique tpe","Maintenance","PEC_Images/CFWH.Moyent de paiement - Photo anomalie.150332.jpg","","Poteau de protection","4","Bon","","","","","","","1","Dans les emrobés","Rond interdiction de stationner , Carré Réservé au VE","1","Moyen","","","","","Traité","OK","SO","SO","NOK","OK","OK","OK","OK","NOK","OK","OK","OK","OK","OK","NOK","NOK","NOK","Non","Mise à jour à faire avec e totem car connecteur ne remontent  pas à la supervision","","Fait","Fait","Mise à jour avec e totem et test chargé","Martineau clément","PEC_Images/CFWH.Signature.150334.png"
"Traité","MKKR","7/1/2026","","La Cambe, Rue des Vignets","2","0","49.342891, -1.005824","PEC_Images/MKKR.Photo Site.152033.jpg","","SGA MOBILITY - SGA ZELIE","ZID3011","2","2024","16/5/2024","PEC_Images/MKKR.Photo Chargeur.152033.jpg","Bon","","","","","","MKKR1","T2 + EF","22","1","Bon","Bon","Fonctionnel","","","","","","","MKKR2","T2 + EF","22","1","Bon","Bon","Fonctionnel","","1","Prise 2 EF indisponible","-","PEC_Images/MKKR.Prise 2 - Photo anomalie.152033.jpg","","","","","","","","","","","","","","","Intégré au chargeur","50074461892545","BACO 4 010 13","60","500","Bon","PEC_Images/MKKR.Photo PDL.152037.jpg","PEC_Images/MKKR.Photo Disjoncteur.152037.jpg","","","","","","89332401000037828627","ZID3011","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Dans les emrobés","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","RAS","","Fait","Fait","","DUPUY Philippe","PEC_Images/MKKR.Signature.152037.png"
"Traité","DZFL","7/1/2026","","Le Breuil-en-Bessin, Route de la Nourichellerie","2","0","49.255467, -0.861523","PEC_Images/DZFL.Photo Site.152320.jpg","","SGA MOBILITY - SGA ZELIE","ZID3047","1","2025","23/1/2025","PEC_Images/DZFL.Photo Chargeur.152320.jpg","Bon","","","","","","DZFL1","T2 + EF","7.4","","Comme neuf","Comme neuf","Fonctionnel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50032780809394","BACO 401013","60","500","Bon","PEC_Images/DZFL.Photo PDL.152320.jpg","PEC_Images/DZFL.Photo Disjoncteur.152323.jpg","","","","","","89332401000037828478","ZID3047","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Comme neuf","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","","","Fait","Fait","","Laurent Elodie","PEC_Images/DZFL.Signature.152323.png"
