"COORDONNÉES","","","ZONE DE CHARGE","","","","","","","","","BORNE DE CHARGE","","","","","","","","","","","","","","","POINT DE CHARGE","","","","","","","","","PRISE","","","","","","",""
"PROJECTION","X","Y","CODE","TYPE EQUIPEMENT","ALIAS","PÉRIMÈTRE","ENTREPRISE","COMMUNE","TYPE","NOM","COMMENTAIRE","TYPE EQUIPEMENT","MODELE IRVE","CODE","ALIAS","PÉRIMÈTRE","VERSION FIRMWARE","NUMÉRO ICCID SIM","DATE INSTALLATION","MARQUE","MODELE","DERNIERE INTERVENTION","DATE CREATION","EQUIPEMENT PRIORITAIRE","COMMENTAIRE","OPTIONS","CHARGEBOXID","PUISSANCE MAXIMALE (W)","CODE D'OPÉRATION","CODE DU POINT DE CHARGE","CODE","DATE INSTALLATION","DATE INTERVENTION","NOMBRE DE CONNECTEURS","COMMENTAIRE","CODE","CONNECTOR_ID","TYPE","ALIMENTATION","TYPE DE PRISE","INTENSITÉ MAX (A)","ID DU POINT DE CHARGE","COMMENTAIRE"
"WGS_84","-0.76","49.16","FR*SOD*S*SDEC*152*1*_*_","Zone de charge","CAHAGNOLLES - Place de la Mairie","Global","Citeos Caen","","","","14490","Borne de charge","","FR*SOD*S*SDEC*152*1*_*_","ENHN - CAHAGNOLLES - Place de la Mairie","Global","2.1.6.2","000096137575","12/7/2023","DBT","SQC-Keren","12/2/2025","11/2/2021","Non","14121","Freshmile","DBT.L2.966ae3","22000","","","FR*SOD*S*SDEC*152*1*_*_-2","","","2","ENHN2","FR*SOD*S*SDEC*152*1*_*_-2-T2","2","T2","","","","2","T2, EF"
"WGS_84","-0.76","49.16","FR*SOD*S*SDEC*152*1*_*_","Zone de charge","CAHAGNOLLES - Place de la Mairie","Global","Citeos Caen","","","","14490","Borne de charge","","FR*SOD*S*SDEC*152*1*_*_","ENHN - CAHAGNOLLES - Place de la Mairie","Global","2.1.6.2","000096137575","12/7/2023","DBT","SQC-Keren","12/2/2025","11/2/2021","Non","14121","Freshmile","DBT.L2.966ae3","3700","","","FR*SOD*S*SDEC*152*1*_*_-2","","","2","ENHN2","FR*SOD*S*SDEC*152*1*_*_-2-EF","2","EF","","","","2","T2, EF"
"WGS_84","-0.76","49.16","FR*SOD*S*SDEC*152*1*_*_","Zone de charge","CAHAGNOLLES - Place de la Mairie","Global","Citeos Caen","","","","14490","Borne de charge","","FR*SOD*S*SDEC*152*1*_*_","ENHN - CAHAGNOLLES - Place de la Mairie","Global","2.1.6.2","000096137575","12/7/2023","DBT","SQC-Keren","12/2/2025","11/2/2021","Non","14121","Freshmile","DBT.L2.966ae3","22000","","","FR*SOD*S*SDEC*152*1*_*_-1","","","2","ENHN1","FR*SOD*S*SDEC*152*1*_*_-1-T2","1","T2","","","","1","T2, EF"
"WGS_84","-0.76","49.16","FR*SOD*S*SDEC*152*1*_*_","Zone de charge","CAHAGNOLLES - Place de la Mairie","Global","Citeos Caen","","","","14490","Borne de charge","","FR*SOD*S*SDEC*152*1*_*_","ENHN - CAHAGNOLLES - Place de la Mairie","Global","2.1.6.2","000096137575","12/7/2023","DBT","SQC-Keren","12/2/2025","11/2/2021","Non","14121","Freshmile","DBT.L2.966ae3","3700","","","FR*SOD*S*SDEC*152*1*_*_-1","","","2","ENHN1","FR*SOD*S*SDEC*152*1*_*_-1-EF","1","EF","","","","1","T2, T3, EF"
"WGS_84","-0.41","49.27","FR*SOD*S*SDEC*115*1*_*_","Zone de charge","ANGUERNY - Rue du Bout Maçon","Global","Citeos Caen","","","","14610","Borne de charge","","FR*SOD*S*SDEC*115*1*_*_","AAJA - ANGUERNY - Rue du Bout Maçon","Global","3.17g-p1-mb2","000089417409","6/16/2017","E-TOTEM","E TOTEM 22 KVA","9/10/2024","11/2/2021","Non","14014","Freshmile","ET301","22000","","","FR*SOD*S*SDEC*115*1*_*_-2","","","2","AAJA2","FR*SOD*S*SDEC*115*1*_*_-2-EF","2","EF","","","","2","T2, EF"
"WGS_84","-0.41","49.27","FR*SOD*S*SDEC*115*1*_*_","Zone de charge","ANGUERNY - Rue du Bout Maçon","Global","Citeos Caen","","","","14610","Borne de charge","","FR*SOD*S*SDEC*115*1*_*_","AAJA - ANGUERNY - Rue du Bout Maçon","Global","3.17g-p1-mb2","000089417409","6/16/2017","E-TOTEM","E TOTEM 22 KVA","9/10/2024","11/2/2021","Non","14014","Freshmile","ET301","22000","","","FR*SOD*S*SDEC*115*1*_*_-1","","","2","AAJA1","FR*SOD*S*SDEC*115*1*_*_-1-T2","1","T2","","","","1","T2, EF"
"WGS_84","-0.41","49.27","FR*SOD*S*SDEC*115*1*_*_","Zone de charge","ANGUERNY - Rue du Bout Maçon","Global","Citeos Caen","","","","14610","Borne de charge","","FR*SOD*S*SDEC*115*1*_*_","AAJA - ANGUERNY - Rue du Bout Maçon","Global","3.17g-p1-mb2","000089417409","6/16/2017","E-TOTEM","E TOTEM 22 KVA","9/10/2024","11/2/2021","Non","14014","Freshmile","ET301","22000","","","FR*SOD*S*SDEC*115*1*_*_-1","","","2","AAJA1","FR*SOD*S*SDEC*115*1*_*_-1-EF","1","EF","","","","1","T2, EF"
"WGS_84","-0.41","49.27","FR*SOD*S*SDEC*115*1*_*_","Zone de charge","ANGUERNY - Rue du Bout Maçon","Global","Citeos Caen","","","","14610","Borne de charge","","FR*SOD*S*SDEC*115*1*_*_","AAJA - ANGUERNY - Rue du Bout Maçon","Global","3.17g-p1-mb2","000089417409","6/16/2017","E-TOTEM","E TOTEM 22 KVA","9/10/2024","11/2/2021","Non","14014","Freshmile","ET301","22000","","","FR*SOD*S*SDEC*115*1*_*_-2","","","2","AAJA2","FR*SOD*S*SDEC*115*1*_*_-2-T2","2","T2","","","","2","T2, EF"
"WGS_84","-0.28","49.26","FR*SOD*S*SDEC*102*1*_*_","Zone de charge","ST AUBIN D'ARQUENAY - Rue du Caprice","Global","","","","","14970","Borne de charge","","FR*SOD*S*SDEC*102*1*_*_","TXRA - ST AUBIN D'ARQUENAY - Rue du Caprice","Global","3.18a-rc23-tcp","000089417347","3/29/2017","E-TOTEM","E TOTEM 22 KVA","10/29/2025","11/2/2021","Non","14558","Freshmile","ET240","22000","","","FR*SOD*S*SDEC*102*1*_*_-1","","","2","TXRA1","FR*SOD*S*SDEC*102*1*_*_-1-T2","1","T2","","","","1","T2, EF"
"WGS_84","-0.28","49.26","FR*SOD*S*SDEC*102*1*_*_","Zone de charge","ST AUBIN D'ARQUENAY - Rue du Caprice","Global","","","","","14970","Borne de charge","","FR*SOD*S*SDEC*102*1*_*_","TXRA - ST AUBIN D'ARQUENAY - Rue du Caprice","Global","3.18a-rc23-tcp","000089417347","3/29/2017","E-TOTEM","E TOTEM 22 KVA","10/29/2025","11/2/2021","Non","14558","Freshmile","ET240","22000","","","FR*SOD*S*SDEC*102*1*_*_-1","","","2","TXRA1","FR*SOD*S*SDEC*102*1*_*_-1-EF","1","EF","","","","1","T2, EF"
